id,title,year,genre,overview,emotion_tags,rating,tmdb_id
1,The Pursuit of Happyness,2006,Drama,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,happy,8.0,1402
2,Forrest Gump,1994,"Drama, Romance",The presidencies of Kennedy and Johnson through the eyes of an Alabama man with an IQ of 75.,happy,8.8,13
3,La La Land,2016,"Comedy, Drama, Music",A jazz pianist falls for an aspiring actress in Los Angeles.,happy,8.0,313369
4,The Intouchables,2011,"Biography, Comedy, Drama",After he becomes a quadriplegic a wealthy man hires a caregiver from the projects.,happy,8.5,27405
5,Toy Story 3,2010,"Animation, Adventure, Comedy",The toys are mistakenly delivered to a day-care center and must plan a great escape.,happy,8.3,10193
6,Paddington 2,2017,"Animation, Adventure, Comedy",Paddington picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's birthday.,happy,7.8,346364
7,The Grand Budapest Hotel,2014,"Adventure, Comedy, Drama",A writer encounters the owner of an aging high-class hotel who tells of his early years.,happy,8.1,120467
8,The Lego Movie,2014,"Animation, Action, Adventure",An ordinary LEGO construction worker is recruited to help stop an evil tyrant from gluing the universe together.,happy,7.8,137106
9,Little Miss Sunshine,2006,"Comedy, Drama",A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip.,happy,7.9,773
10,Up,2009,"Animation, Adventure, Comedy",An elderly widower travels to Paradise Falls in his house equipped with balloons.,happy,8.3,14160
11,The Fault in Our Stars,2014,"Drama, Romance",Two teens who meet in a cancer support group fall in love and explore the meaning of life together.,sad,7.7,222935
12,Schindler's List,1993,"Biography, Drama, History",The true story of how businessman Oskar Schindler saved over a thousand Jewish lives during the Holocaust.,sad,9.0,424
13,A Walk to Remember,2002,"Drama, Romance",Two North Carolina teens from very different worlds fall in love.,sad,7.4,4282
14,The Green Mile,1999,"Crime, Drama, Fantasy",The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder.,sad,8.6,497
15,Manchester by the Sea,2016,Drama,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,sad,7.8,334521
16,Hachi: A Dog's Tale,2009,"Drama, Family",A college professor bonds with an abandoned dog he takes into his home.,sad,8.1,20890
17,The Boy in the Striped Pajamas,2008,"Drama, War",Through the innocent eyes of Bruno the story of an unlikely friendship between the son of a Nazi and a Jewish boy.,sad,7.8,4347
18,Eternal Sunshine of the Spotless Mind,2004,"Drama, Romance, Sci-Fi",When their relationship turns sour a couple undergoes a procedure to have each other erased from their memories.,sad,8.3,38
19,Life Is Beautiful,1997,"Comedy, Drama, Romance",A Jewish man uses his vivid imagination to protect his son from the horrors of a Nazi concentration camp.,sad,8.6,637
20,Marley & Me,2008,"Comedy, Drama, Family",A family learns important life lessons from their adorable but naughty dog.,sad,7.0,2085
21,Fight Club,1999,Drama,An insomniac office worker and a devil-may-care soap maker form an underground fight club.,angry,8.8,550
22,Gladiator,2000,"Action, Drama",A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family.,angry,8.5,98
23,The Dark Knight,2008,"Action, Crime, Drama",Batman must accept one of the greatest psychological tests to fight injustice and the diabolical Joker.,angry,9.0,155
24,John Wick,2014,"Action, Crime, Thriller",An ex-hitman comes out of retirement to track down the gangsters that killed his dog.,angry,7.4,245891
25,Mad Max: Fury Road,2015,"Action, Adventure, Sci-Fi",In a post-apocalyptic wasteland a woman rebels against a tyrannical ruler in search of her homeland.,angry,8.1,76341
26,Kill Bill: Vol. 1,2003,"Action, Crime, Thriller",The Bride continues her quest of vengeance against her former boss and lover Bill.,angry,8.1,24
27,Django Unchained,2012,"Drama, Western",A freed slave teams up with a bounty hunter to rescue his wife from a brutal plantation owner.,angry,8.4,68718
28,The Revenant,2015,"Action, Adventure, Drama",A frontiersman on a fur trading expedition fights for survival after being mauled by a bear.,angry,8.0,281957
29,Deadpool,2016,"Action, Adventure, Comedy",A fast-talking mercenary with a morbid sense of humor is subjected to a rogue experiment.,angry,8.0,293660
30,V for Vendetta,2005,"Action, Drama, Sci-Fi",In a future British dystopia a masked vigilante plots to overthrow the tyrannical government.,angry,8.2,752
31,The Conjuring,2013,"Horror, Mystery, Thriller",Paranormal investigators work to help a family terrorized by a dark presence in their farmhouse.,fear,7.5,138843
32,A Quiet Place,2018,"Drama, Horror, Sci-Fi",A family must live in silence while hiding from creatures that hunt by sound.,fear,7.5,447332
33,Get Out,2017,"Horror, Mystery, Thriller",A young African American man visits his white girlfriend's parents for the weekend.,fear,7.7,419430
34,The Shining,1980,"Drama, Horror",A family heads to an isolated hotel for the winter where a sinister presence influences the father.,fear,8.4,694
35,Hereditary,2018,"Drama, Horror, Mystery",A grieving family is haunted by tragic and disturbing occurrences.,fear,7.3,493922
36,It,2017,Horror,A group of bullied kids band together when a shape-shifting demon terrorizes their town.,fear,7.3,346364
37,The Exorcist,1973,Horror,When a young girl is possessed by a demon two priests are called to perform an exorcism.,fear,8.1,9552
38,The Ring,2002,"Horror, Mystery",A journalist investigates a mysterious videotape that seems to cause the death of anyone who watches it.,fear,7.1,8051
39,Insidious,2010,"Horror, Mystery, Thriller",A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further.,fear,6.8,56292
40,Sinister,2012,"Horror, Mystery, Thriller",A true-crime writer finds a disturbing box of home movies that plunge his family into danger.,fear,6.8,82507
