id,title,year,genre,overview,emotion_tags,rating,tmdb_id,poster_url
1,The Pursuit of Happyness,2006,Drama,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,happy,8.0,1402,https://image.tmdb.org/t/p/w500/poster1402.jpg
2,Forrest Gump,1994,"Drama, Romance",The presidencies of Kennedy and Johnson through the eyes of an Alabama man with an IQ of 75.,happy,8.8,13,https://image.tmdb.org/t/p/w500/poster13.jpg
3,La La Land,2016,"Comedy, Drama, Music",A jazz pianist falls for an aspiring actress in Los Angeles.,happy,8.0,313369,https://image.tmdb.org/t/p/w500/poster313369.jpg
4,The Intouchables,2011,"Biography, Comedy, Drama",After he becomes a quadriplegic a wealthy man hires a caregiver from the projects.,happy,8.5,27405,https://image.tmdb.org/t/p/w500/poster27405.jpg
5,Toy Story 3,2010,"Animation, Adventure, Comedy",The toys are mistakenly delivered to a day-care center and must plan a great escape.,happy,8.3,10193,https://image.tmdb.org/t/p/w500/poster10193.jpg
6,Paddington 2,2017,"Animation, Adventure, Comedy",Paddington picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's birthday.,happy,7.8,346364,https://image.tmdb.org/t/p/w500/poster346364.jpg
7,The Grand Budapest Hotel,2014,"Adventure, Comedy, Drama",A writer encounters the owner of an aging high-class hotel who tells of his early years.,happy,8.1,120467,https://image.tmdb.org/t/p/w500/poster120467.jpg
8,The Lego Movie,2014,"Animation, Action, Adventure",An ordinary LEGO construction worker is recruited to help stop an evil tyrant from gluing the universe together.,happy,7.8,137106,https://image.tmdb.org/t/p/w500/poster137106.jpg
9,Little Miss Sunshine,2006,"Comedy, Drama",A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip.,happy,7.9,773,https://image.tmdb.org/t/p/w500/poster773.jpg
10,Up,2009,"Animation, Adventure, Comedy",An elderly widower travels to Paradise Falls in his house equipped with balloons.,happy,8.3,14160,https://image.tmdb.org/t/p/w500/poster14160.jpg
11,The Fault in Our Stars,2014,"Drama, Romance",Two teens who meet in a cancer support group fall in love and explore the meaning of life together.,sad,7.7,222935,https://image.tmdb.org/t/p/w500/poster222935.jpg
12,Schindler's List,1993,"Biography, Drama, History",The true story of how businessman Oskar Schindler saved over a thousand Jewish lives during the Holocaust.,sad,9.0,424,https://image.tmdb.org/t/p/w500/poster424.jpg
13,A Walk to Remember,2002,"Drama, Romance",Two North Carolina teens from very different worlds fall in love.,sad,7.4,4282,https://image.tmdb.org/t/p/w500/poster4282.jpg
14,The Green Mile,1999,"Crime, Drama, Fantasy",The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder.,sad,8.6,497,https://image.tmdb.org/t/p/w500/poster497.jpg
15,Manchester by the Sea,2016,Drama,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,sad,7.8,334521,https://image.tmdb.org/t/p/w500/poster334521.jpg
16,Hachi: A Dog's Tale,2009,"Drama, Family",A college professor bonds with an abandoned dog he takes into his home.,sad,8.1,20890,https://image.tmdb.org/t/p/w500/poster20890.jpg
17,The Boy in the Striped Pajamas,2008,"Drama, War",Through the innocent eyes of Bruno the story of an unlikely friendship between the son of a Nazi and a Jewish boy.,sad,7.8,4347,https://image.tmdb.org/t/p/w500/poster4347.jpg
18,Eternal Sunshine of the Spotless Mind,2004,"Drama, Romance, Sci-Fi",When their relationship turns sour a couple undergoes a procedure to have each other erased from their memories.,sad,8.3,38,https://image.tmdb.org/t/p/w500/poster38.jpg
19,Life Is Beautiful,1997,"Comedy, Drama, Romance",A Jewish man uses his vivid imagination to protect his son from the horrors of a Nazi concentration camp.,sad,8.6,637,https://image.tmdb.org/t/p/w500/poster637.jpg
20,Marley & Me,2008,"Comedy, Drama, Family",A family learns important life lessons from their adorable but naughty dog.,sad,7.0,2085,https://image.tmdb.org/t/p/w500/poster2085.jpg
21,Fight Club,1999,Drama,An insomniac office worker and a devil-may-care soap maker form an underground fight club.,angry,8.8,550,https://image.tmdb.org/t/p/w500/poster550.jpg
22,Gladiator,2000,"Action, Drama",A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family.,angry,8.5,98,https://image.tmdb.org/t/p/w500/poster98.jpg
23,The Dark Knight,2008,"Action, Crime, Drama",Batman must accept one of the greatest psychological tests to fight injustice and the diabolical Joker.,angry,9.0,155,https://image.tmdb.org/t/p/w500/poster155.jpg
24,John Wick,2014,"Action, Crime, Thriller",An ex-hitman comes out of retirement to track down the gangsters that killed his dog.,angry,7.4,245891,https://image.tmdb.org/t/p/w500/poster245891.jpg
25,Mad Max: Fury Road,2015,"Action, Adventure, Sci-Fi",In a post-apocalyptic wasteland a woman rebels against a tyrannical ruler in search of her homeland.,angry,8.1,76341,https://image.tmdb.org/t/p/w500/poster76341.jpg
26,Kill Bill: Vol. 1,2003,"Action, Crime, Thriller",The Bride continues her quest of vengeance against her former boss and lover Bill.,angry,8.1,24,https://image.tmdb.org/t/p/w500/poster24.jpg
27,Django Unchained,2012,"Drama, Western",A freed slave teams up with a bounty hunter to rescue his wife from a brutal plantation owner.,angry,8.4,68718,https://image.tmdb.org/t/p/w500/poster68718.jpg
28,The Revenant,2015,"Action, Adventure, Drama",A frontiersman on a fur trading expedition fights for survival after being mauled by a bear.,angry,8.0,281957,https://image.tmdb.org/t/p/w500/poster281957.jpg
29,Deadpool,2016,"Action, Adventure, Comedy",A fast-talking mercenary with a morbid sense of humor is subjected to a rogue experiment.,angry,8.0,293660,https://image.tmdb.org/t/p/w500/poster293660.jpg
30,V for Vendetta,2005,"Action, Drama, Sci-Fi",In a future British dystopia a masked vigilante plots to overthrow the tyrannical government.,angry,8.2,752,https://image.tmdb.org/t/p/w500/poster752.jpg
31,The Conjuring,2013,"Horror, Mystery, Thriller",Paranormal investigators work to help a family terrorized by a dark presence in their farmhouse.,fear,7.5,138843,https://image.tmdb.org/t/p/w500/poster138843.jpg
32,A Quiet Place,2018,"Drama, Horror, Sci-Fi",A family must live in silence while hiding from creatures that hunt by sound.,fear,7.5,447332,https://image.tmdb.org/t/p/w500/poster447332.jpg
